time,temp
1706380200.0,28.8
1706382000.0,28.7
1706383800.0,28.8
1706385600.0,28.3
1706387400.0,28.3
1706389200.0,28.0
1706391000.0,27.9
1706392800.0,28.2
1706394600.0,27.8
1706396400.0,27.1
1706398200.0,26.6
1706400000.0,26.6
1706401800.0,26.9
1706403600.0,27.0
1706405400.0,26.9
1706407200.0,26.8
1706409000.0,26.3
1706410800.0,26.1
1706412600.0,26.2
1706414400.0,25.8
1706416200.0,25.6
1706418000.0,25.5
1706419800.0,25.3
1706421600.0,25.2
1706423400.0,25.0
1706425200.0,25.0
1706427000.0,25.0
1706428800.0,25.1
1706430600.0,25.3
1706432400.0,25.4
1706434200.0,25.6
1706436000.0,25.7
1706437800.0,25.8
1706439600.0,26.4
1706441400.0,26.8
1706443200.0,27.0
1706445000.0,27.2
1706446800.0,27.5
1706448600.0,27.6
1706450400.0,28.1
1706452200.0,28.5
1706454000.0,29.0
1706455800.0,29.3
1706457600.0,29.7
1706459400.0,30.1
1706461200.0,30.0
1706463000.0,30.1
1706464800.0,30.4
1706466600.0,30.6
1706468400.0,30.6
1706470200.0,30.5
1706472000.0,29.8
1706473800.0,30.2
1706475600.0,29.8
1706477400.0,29.6
1706479200.0,28.16
1706481000.0,27.93
1706482800.0,27.92
1706484600.0,28.02
1706486400.0,28.14
1706488200.0,28.3
